0,1,2,3,4,5
,15A,BIO - C+,"CHE/MAT ALTERNATIVE A/PHY-
C+",,
,,"Bachelor of Science (Animal Health & Production) Bachelor of Science (Animal Health and Production)
Bachelor of Science (Animal Health, Production & Processing Bachelor of Science (Animal Production & Health Management)
Bachelor of Science in Animal Health Management Bachelor of Science in Animal Production
Bachelor of Science in Applied Animal Laboratory Science",,,
,15B,BIO – C+,"MAT ALTERNATIVE A/PHY/CHE
– C+",,
,,"Bachelor of Science (Animal Science & Management)
Bachelor of Science (Animal Science, With IT)
Bachelor of Science in Animal Science
Bachelor of Science in Animal Science & Technology
Bachelor of Science in Animal Products Technology",,,
,15C,BIO – C (PLAIN),CHE – C (PLAIN),MAT ALTERNATIVE A/B/PHY/GEO – C (PLAIN),ENG/KIS – C (PLAIN)
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,15D,BIO – C (PLAIN),CHE – C (PLAIN),,
,,"Bachelor of Science (Fisheries and Aquaculture Management) Bachelor of Science (Fisheries and Aquaculture, With IT)
Bachelor of Science Fisheries Management and Aquaculture Technology Bachelor of Science in Fisheries and Aquaculture
Bachelor of Science (Coastal & Marine Resource Management Bachelor of Science (Marine Biology & Fisheries)
Bachelor of Science (Fisheries & Aquatic Sciences) Bachelor of Science in Aquaculture and Fisheries Technology
Bachelor of Science in Fisheries and Oceanography Bachelor of Science in Marine Resource Management
Bachelor of Science in Maritime Management (Commercial)
Bachelor of Science (Applied Aquatic Science)",,,
,15E,BIO - C+,CHE/AGR - C+,MAT ALTERNATIVE A/PHY/GEO - C+,ENG/KIS – C (PLAIN)
,,,,,
,15F,BIO/AGRIC/HSC – C (PLAIN),CHE – C (PLAIN),MATH C - (PLAIN),
,,"Bachelor of Science (Food Processing Technology)
Bachelor of Science in Food Science & Technology
Bachelor of Science (Food Science & Technology)
Bachelor of Science (Food Science and Management)
Bachelor of Science (Food Science and Technology)
Bachelor of Science (Food Security)
Bachelor of Science in Food Technology & Quality Assurance",,,
,15G,BIO/AGR – C+,CHE/GEO – C+,,
,,"Bachelor of Environmental Science Bachelor of Technology (Environmental Resource Management
Bachelor of Environmental Studies Bachelor of Science (Environmental Management)
Bachelor of Science in Environmental Studies Bachelor of Science (Environmental Science, With IT)
Bachelor of Environmental Studies (Arts) Bachelor of Science (Environmental Science)
Bachelor of Environmental Studies (Science) Bachelor of Science in Environmental Science and Technology
Bachelor of Science in Environmental Science Bachelor of Science (Environmental Sciences)
Bachelor of Environmental (Environmental Resource Bachelor of Environmental Studies (Community Development)
Conservation)
Bachelor of Science (Bio-resources Management and Conservation) Bachelor of Environmental Planning & Development Management
Bachelor of Environmental Studies and Community Development
Bachelor of Science in Environment, Lands and Sustainable Development",,,
,,BIO - C PLAIN/AGR – C+,CHE – C (PLAIN),MATH A/PHY/GEO – C (PLAIN),
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,,,,
16,,"Subject 1
GEO","Subject 2
MAT ALTERNATIVE A/B","Subject 3
Any GROUP II","Subject 4
2nd GROUP II or 2nd GROUP III or any GROUP IV
or any GROUP V"
,16A,GEO - C+,,,
,,"Bachelor of Arts (Geography)
Bachelor of Science (Geography)
Bachelor of Arts (Geography and Economics)
Bachelor of Arts (Kiswahili and Geography)
Bachelor of Science (Geography and Natural Resource Management, With IT)",,,
17,,"Subject 1
FRE/GER","Subject 2
ENG/KIS","Subject 3
MAT ALTERNATIVE A/B or any GROUP II or any","Subject 4
A GROUP II or a GROUP III or any GROUP IV or"
,17A,FRE /GER - C+,,GROUP III,2nd GROUP V
,,"Bachelor of Arts (French)
Bachelor of Arts (French, With IT)
Bachelor of Arts (German)",,,
18,,"Subject 1
MUS","Subject 2
ENG/KIS","Subject 3
MAT ALTERNATIVE A/B or any GROUP II or any
GROUP III","Subject 4
A GROUP II or a GROUP III or any GROUP IV or
2nd GROUP V"
,,MUS - C+,,,
,,,,,
DEGREE PROGRAMMES CLUSTERS,,,,,
CLUSTER,"SUB-
PROGRAMMES AND SUBJECT REQUIREMENTS
CLUSTER",,,,
,,Bachelor of Music (Technology),,,
19,,"Subject 1
ENG","Subject 2
MAT ALTERNATIVE A/B or any
GROUP II","Subject 3
2nd GROUP II or any GROUP III","Subject 4
KIS or 3rd GROUP II or 2nd GROUP III or any
GROUP IV or any GROUP V"
,19A,ENG – C (PLAIN),"MAT ALTERNATIVE A – C
(PLAIN)",MAT ALTERNATIVE A/PHY/CHE/BIO - C+,MAT ALTERNATIVE A/PHY/CHE/BIO - C+
,,"Bachelor of Education (Science)
Bachelor of Education (Science, With IT)
Bachelor of Education (Science with IT)
Bachelor of Education (Agricultural Education)",,,
